OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
351612,232838055,10/11/2023 12:39:10 PM,10/10/2023 12:45:00 PM,10/10/2023 5:45:00 PM,Tuesday,3,7,706,6000 N TERMINAL PKWY,Air/ Bus/ Train Terminal,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.444368,33.640311,,,,Part I,1,89676fb1-dad1-426b-b43b-716077914c11,-84.4443679999999,33.6403110000001
351615,232845017,10/11/2023 12:42:03 PM,6/1/2023 4:25:00 PM,9/19/2023 4:25:00 PM,Thursday,5,2,206,3005 PEACHTREE RD NE,Residence/ Home / Apartment / Condo,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.381152,33.836839,Garden Hills,B,7,Part II,1,30752e4b-fb60-4754-8abe-95ef79999375,-84.381152,33.8368390000001
351616,232845019,10/11/2023 1:02:03 PM,9/4/2023 8:55:00 PM,9/5/2023 8:55:00 PM,Monday,2,2,204,2167 BOLTON DR NW,Other/Unknown,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.440464,33.816492,Bolton,D,9,Part II,1,ef790559-b90b-45f8-91ea-dda09d90f08e,-84.440464,33.816492
351617,232840576,10/11/2023 1:16:13 PM,9/13/2023 4:00:00 PM,10/6/2023 4:00:00 PM,Wednesday,4,2,208,3372 PEACHTREE RD NE,Commercial/ Office Building,26E,Wire Fraud,PROPERTY,N,,,Day Watch,-84.367013,33.848614,North Buckhead,B,7,Part II,,1d0a6672-f6c3-46f1-917a-f76362e33f2d,-84.367013,33.8486140000001
351626,232830810,10/11/2023 1:19:15 PM,10/10/2023 3:31:00 PM,10/10/2023 4:00:00 PM,Tuesday,3,5,503,1080 W PEACHTREE ST NW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.388169,33.784703,Midtown,E,2,Part II,1,e74c9a6f-fb00-4dba-ab8c-e5f52a164624,-84.3881689999999,33.784703
351614,232840455,10/11/2023 1:22:06 PM,10/11/2023 4:00:00 AM,10/11/2023 12:00:00 PM,Wednesday,4,1,108,306 ANDERSON AVE NW,Highway/ Road/ Alley/ Street/ Sidewalk,240,Motor Vehicle Theft,PROPERTY,N,,,Morning Watch,-84.451503,33.763412,Dixie Hills,J,3,Part I,1,d7739713-4c2f-402d-8bcc-2e1e7effbb85,-84.4515029999999,33.7634120000001
351628,232840426,10/11/2023 1:38:25 PM,10/11/2023 11:23:00 AM,10/11/2023 11:23:00 AM,Wednesday,4,1,109,2509 DONALD LEE HOLLOWELL PKWY NW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.467666,33.775871,Center Hill,J,9,Part II,1,b272a0a3-0c89-4de0-8c3c-cbaf0747276b,-84.467666,33.7758710000001
351622,232840377,10/11/2023 1:44:06 PM,10/11/2023 11:23:00 AM,10/11/2023 11:24:00 AM,Wednesday,4,6,605,800 GLENWOOD AVE SE,Service/ Gas Station,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.360419,33.742051,Grant Park,W,1,Part I,1,286c8b0b-f0fc-477e-8081-4d5e197c361b,-84.360419,33.7420510000001
351619,232840541,10/11/2023 2:05:08 PM,10/5/2023 8:00:00 PM,10/9/2023 12:00:00 PM,Thursday,5,5,504,950 MARIETTA ST NW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.408215,33.776821,Marietta Street Artery,E,3,Part I,2,7e09d34e-0501-44de-9fd8-8610e4c65c32,-84.408215,33.776821
351658,232840614,10/11/2023 2:13:04 PM,1/1/2023 12:00:00 PM,10/11/2023 11:00:00 AM,Sunday,1,2,206,2986 N FULTON DR NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Day Watch,-84.378158,33.836333,Garden Hills,B,7,Part II,,024f9655-69a0-4420-9ed7-1d7a34713191,-84.378158,33.836333
351753,232840614,10/11/2023 2:13:04 PM,1/1/2023 12:00:00 PM,10/11/2023 11:00:00 AM,Sunday,1,2,206,2986 N FULTON DR NE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Day Watch,-84.378158,33.836333,Garden Hills,B,7,Part I,,f31b8c0d-d502-4582-99b8-622d2575be13,-84.378158,33.836333
351623,232840618,10/11/2023 2:14:12 PM,5/23/2023 4:00:00 PM,10/2/2023 4:00:00 PM,Tuesday,3,5,503,205 12TH ST NE,Residence/ Home / Apartment / Condo,26F,Identity Theft,PROPERTY,N,,,Day Watch,-84.380726,33.784171,Midtown,E,2,Part II,1,77e75040-1201-47ac-ad22-a81ce34d8081,-84.380726,33.7841710000001
351618,232845022,10/11/2023 2:22:12 PM,10/4/2023 4:30:00 PM,10/5/2023 1:30:00 AM,Wednesday,4,5,506,370 NORTHSIDE DR NW,Bank - Savings and Loan,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.406707,33.765288,English Avenue,L,3,Part II,1,bfa52bb0-f300-4ece-a494-e7329541b7e5,-84.406707,33.7652880000001
351631,232840493,10/11/2023 2:22:14 PM,10/11/2023 12:30:00 AM,10/12/2023 3:30:00 AM,Tuesday,3,4,412,3576 GLENVIEW CIR SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.50532,33.703356,Heritage Valley,P,11,Part I,1,be4d0bad-1c4c-42ff-a1a3-afb08d47865a,-84.50532,33.703356
351624,232845025,10/11/2023 2:22:17 PM,8/28/2023 4:01:00 AM,9/12/2023 3:59:00 AM,Monday,2,4,406,2414 HERRING RD SW,Residence/ Home / Apartment / Condo,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Morning Watch,-84.462528,33.723628,Cascade Avenue/Road,S,11,Part II,1,d48d863a-3a5a-491b-b9d6-91d519365fb0,-84.462528,33.7236280000001
351620,232845023,10/11/2023 2:22:22 PM,12/17/2020 2:00:00 PM,10/6/2023 1:55:00 PM,Thursday,5,2,206,3005 PEACHTREE RD NE,Bank - Savings and Loan,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.381152,33.836839,Garden Hills,B,7,Part II,1,86feb18f-370d-4633-9954-333cef6c2c23,-84.381152,33.8368390000001
