NIBRS Code Name,Report Date,Location,Victim Count,Crime Against,Was a firearm involved?,Longitude,Latitude,Severity Score
All Other Larceny,10/10/2023 7:44:54 PM,2625 PIEDMONT RD NE,1.0,PROPERTY,N,-84.365322,33.827416,0.1665
All Other Larceny,10/10/2023 8:05:30 PM,1978 CARSON DR NW,0.0,PROPERTY,N,-84.452834,33.795553,0.1665
Destruction/Damage/Vandalism of Property,10/10/2023 8:05:38 PM,200 N HIGHLAND AVE NE,0.0,PROPERTY,N,-84.360815,33.761721,0.1665
All Other Larceny,10/10/2023 8:05:38 PM,200 N HIGHLAND AVE NE,1.0,PROPERTY,N,-84.360815,33.761721,0.1665
Motor Vehicle Theft,10/10/2023 8:06:35 PM,552 PARKWAY DR NE,1.0,PROPERTY,N,-84.373352,33.769438,0.2331
False Pretenses/Swindle/Confidence Game,10/10/2023 8:13:11 PM,3137 PIEDMONT RD NE,0.0,PROPERTY,N,-84.370339,33.842725,0.1998
Theft From Motor Vehicle,10/10/2023 8:14:56 PM,2828 PEYTON CROSSING DR SW,1.0,PROPERTY,N,-84.480101,33.736347,0.0999
Destruction/Damage/Vandalism of Property,10/10/2023 8:17:20 PM,MORELAND AVE SE & METROPOLITAN AVE SE,1.0,PROPERTY,N,-84.34924,33.74135,0.1665
Drug/Narcotic Violations,10/10/2023 8:17:35 PM,3050 MARTIN LUTHER KING JR DR SW,0.0,SOCIETY,N,-84.485698,33.751766,0.1665
Shoplifting,10/10/2023 8:26:25 PM,2841 GREENBRIAR PKWY,0.0,PROPERTY,N,-84.543349,33.698581,0.1332
Simple Assault,10/10/2023 8:26:35 PM,3612 GINNIS CIR SW,2.0,PERSON,N,-84.511966,33.731341,0.1332
Simple Assault,10/10/2023 8:28:07 PM,80 JESSE HILL JR DR SE,1.0,PERSON,N,-84.381982,33.751676,0.1332
Drug/Narcotic Violations,10/10/2023 8:34:14 PM,1153 WADE ST NE,0.0,SOCIETY,N,-84.349773,33.756093,0.1665
All Other Larceny,10/10/2023 8:42:56 PM,870 MAYSON TURNER RD NW,1.0,PROPERTY,N,-84.416631,33.755768,0.1665
